nbProcessors,ExecutionTimeSec
1,30
2,21
3,21
4,23
5,25
6,27
7,28
8,29
9,29
10,29
11,28
12,29
13,31
14,29
15,30
16,29
17,28
18,28
19,29
20,28
21,28
22,29
23,29
24,28
25,28
26,29
27,28
28,28
29,30
30,28
31,28
32,28
33,28
34,29
35,28
36,28
37,29
38,29
39,29
40,28
41,28
42,29
43,28
44,28
45,29
46,28
47,29
48,28
49,28
50,29
51,30
52,28
53,28
54,28
55,29
56,28
57,29
58,29
59,29
60,28
61,28
62,28
63,28
64,29
65,29
66,29
67,29
68,28
69,29
70,28
71,30
72,29
73,28
74,29
75,28
76,30
77,30
78,29
79,29
80,28
81,28
82,30
83,28
84,30
85,30
86,29
87,28
88,29
89,28
90,28
91,28
92,31
93,30
94,28
95,29
96,29
97,28
98,29
99,30
